"Do you agree to the above terms? By clicking Yes, you consent that you are willing to participate in this anonymous survey.",Please select your position in the department,Position,how many years,what EAP,how to access EAP,likely to access EAP,what peer support,who is peer support,how to access peer sup,likely to access,comfort with peer,attending other skills trainings,participate in trainings,resources at shift briefs,officer wellness training,diet and nutrition,exercise,family skills,support group,marriage skills,personal finance,mindfulness,resilencey,reimbursment,way spiritual,extent spiritual,spritual help,spiritual tolerate,spiritual support,chaplain,separate work,falling asleep,sleep issues before,cut off from outside,feeling depressed,concentration,bad memories,physical reactions,feeling irritable,anger toward others,anger towar self,suicidal thoughts,frequency thoughts,don't know where ,time off issues,embarressing,weak ineffective,less confidence,leadership,harm my career,deal with it alone,others who need,I might need,how often alcohol
Yes,Sworn Officer,1,3,3,1,3,5,1,1,2,5,4,1,4,5,3,1,3,1,2,2,2,4,5,3,5,4,4,2,1,4,5,3,3,3,4,3,4,4,4,3,1,1,1,5,5,2,4,1,4,2,5,5,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,3,1,2,3,1,2,3,1,4,5,5,4,5,5,1,3,2,2,3,5,5,2,2,5,5,1,1,3,5,1,4,4,5,3,2,3,3,3,1,1,3,5,4,2,4,4,4,5,5,5,1
Yes,Sworn Officer,1,FALSE,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,3,1,1,2,2,2,5,5,1,1,5,3,2,4,4,3,3,2,3,2,4,2,2,3,2,4,4,4,3,4,4,4,2,1
Yes,Sworn Officer,1,3,4,1,5,5,1,1,5,5,4,3,4,5,4,4,3,4,4,4,4,4,5,3,3,4,3,2,1,2,4,2,3,3,3,4,4,2,2,2,2,2,1,3,3,1,2,2,2,2,4,4,1
Yes,Sworn Officer,1,2,2,2,2,2,1,2,2,2,3,2,3,3,1,1,1,1,2,2,1,1,4,2,5,5,5,1,1,3,3,1,3,1,1,3,2,3,3,1,1,1,3,2,3,2,4,3,4,4,4,2,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,3,5,1,3,5,1,1,3,5,4,4,4,5,3,3,3,2,3,3,3,5,FALSE,2,3,5,5,4,2,2,4,3,1,1,2,2,2,3,1,1,1,1,1,1,2,1,1,1,4,3,5,3,1
Yes,Sworn Officer,1,FALSE,2,2,3,2,2,2,3,3,4,4,4,5,4,4,4,4,4,4,2,4,5,3,4,5,4,2,1,3,4,1,1,3,3,3,2,3,2,2,1,1,4,2,4,2,4,4,4,3,5,4,1
Yes,Sworn Officer,1,4,3,2,2,4,1,1,1,2,2,2,4,4,1,2,2,2,2,3,1,2,3,4,1,1,1,3,1,4,4,2,4,4,3,3,2,3,3,1,2,2,2,2,3,2,4,4,4,5,3,4,4
Yes,Sworn Officer,1,4,4,1,3,4,1,1,2,5,3,4,3,4,2,3,1,1,1,1,1,2,1,4,1,1,1,1,1,2,2,3,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,4,3,5,3,5
Yes,Sworn Officer,1,2,2,2,1,2,1,1,1,2,2,1,4,5,5,5,2,2,3,4,2,3,5,1,4,5,5,1,1,3,4,1,5,3,3,4,3,4,1,1,1,1,2,4,5,3,5,5,5,5,5,4,1
Yes,Sworn Officer,1,FALSE,4,1,5,3,1,2,3,3,5,4,2,4,4,4,4,4,5,5,3,3,4,3,2,2,1,4,2,3,5,1,5,5,5,5,5,3,3,3,2,2,1,1,1,1,5,4,4,1,5,5,2
Yes,Sworn Officer,1,2,2,2,2,1,1,1,2,4,3,1,4,5,5,5,4,3,3,4,2,3,5,4,2,2,2,1,1,1,5,5,2,1,5,2,1,3,2,3,1,1,2,2,4,1,3,3,5,4,3,4,1
Yes,Sworn Officer,1,3,3,1,3,2,2,2,2,1,3,1,3,4,4,4,4,3,4,5,3,3,3,3,4,4,3,1,1,4,5,2,5,4,4,5,3,4,3,3,1,1,2,3,4,1,3,3,4,4,4,4,1
Yes,Sworn Officer,1,3,4,1,4,4,1,1,4,4,5,5,3,5,4,4,3,3,5,3,5,5,5,3,3,2,2,1,1,3,4,2,4,4,4,3,3,3,3,3,3,2,1,4,4,2,2,3,4,1,5,5,4
Yes,Sworn Officer,1,2,3,1,3,2,1,1,1,2,3,4,4,3,2,2,1,3,2,2,1,2,4,3,3,4,4,1,1,2,5,1,3,4,4,2,2,4,4,4,2,FALSE,4,4,4,2,4,4,3,3,4,4,1
Yes,Sworn Officer,1,2,3,1,2,3,2,1,2,4,3,3,2,4,4,4,4,3,3,4,4,3,4,3,3,2,3,2,2,3,3,2,3,3,4,3,2,2,2,3,1,1,2,1,2,2,4,4,4,3,4,3,2
Yes,Sworn Officer,1,4,4,1,4,4,1,1,4,3,3,2,3,4,3,3,2,2,2,2,1,3,4,2,4,5,5,3,2,3,3,1,2,2,2,2,1,2,2,2,1,1,2,1,3,1,3,3,3,3,4,1,1
Yes,Sworn Officer,1,2,2,2,2,1,1,1,2,5,2,1,3,2,1,3,1,1,3,3,1,1,3,4,1,1,1,1,1,1,1,2,5,2,4,4,3,4,2,2,1,1,2,3,5,3,4,4,2,4,4,4,1
Yes,Sworn Officer,1,1,1,2,2,2,2,2,3,4,4,3,4,2,1,2,2,3,4,2,1,3,5,4,1,1,1,1,1,3,3,2,2,1,2,2,2,2,1,1,1,1,3,2,2,1,2,2,2,2,4,4,3
Yes,Sworn Officer,1,2,2,2,1,4,1,1,2,3,4,2,3,2,3,3,3,3,2,2,1,2,2,1,4,2,2,1,2,2,3,1,3,1,3,3,3,2,2,1,1,1,2,2,3,2,3,2,2,3,4,3,1
Yes,Sworn Officer,1,FALSE,4,1,3,2,1,2,2,2,4,3,3,2,3,2,3,2,3,3,3,3,3,1,4,1,1,1,1,4,4,1,4,4,3,3,1,3,4,3,3,2,3,2,5,1,4,4,3,4,5,4,2
Yes,Sworn Officer,1,2,2,1,2,2,1,1,2,1,4,3,4,3,2,2,3,3,3,2,1,3,4,1,4,4,4,1,1,3,2,1,3,3,4,3,2,4,4,4,1,1,2,2,5,1,4,4,5,5,4,4,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,2,2,3,3,1,1,2,3,4,4,3,3,2,2,1,1,1,3,2,3,4,4,1,1,1,1,1,3,2,3,2,2,4,2,1,2,2,3,1,1,4,2,2,1,1,1,1,2,4,4,1
Yes,Sworn Officer,1,FALSE,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,3,1,1,2,3,2,4,3,3,3,2,4,3,2,1,1,2,3,3,2,3,3,4,3,3,2,1
Yes,Sworn Officer,1,1,4,1,2,3,2,1,3,3,4,1,4,5,4,4,5,5,5,5,5,3,5,2,2,5,4,3,1,5,5,3,4,3,4,2,2,3,2,3,1,1,2,5,4,4,5,5,4,3,3,4,2
Yes,Sworn Officer,1,3,3,2,3,3,1,2,3,3,3,4,4,5,4,4,3,3,3,3,4,4,4,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,4,2,3,3,3,3,3,3,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,3,3,2,2,3,1,1,3,4,3,3,3,2,2,2,1,2,3,3,1,2,3,4,1,1,1,1,1,3,5,4,2,3,3,2,1,3,3,3,2,2,2,2,1,1,1,1,1,3,4,4,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,2,2,4,2,2,2,4,3,5,2,3,3,4,4,4,3,5,5,5,5,4,4,1,3,3,1,1,3,3,2,3,3,2,4,4,4,2,4,3,2,4,4,2,1,1,1,4,2,5,4,3
Yes,Sworn Officer,1,2,2,2,1,1,2,2,3,1,4,4,4,1,5,5,3,3,4,5,3,3,5,1,5,1,1,1,1,4,5,1,5,5,5,5,5,5,5,5,1,1,4,5,5,3,5,5,5,2,5,4,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,4,1,5,5,1,1,2,5,4,2,3,4,3,2,2,2,4,3,2,2,4,3,1,3,2,1,2,3,4,3,3,3,4,2,1,2,2,4,2,1,1,1,1,1,4,4,2,2,4,2,1
Yes,Sworn Officer,1,3,4,1,5,1,1,2,2,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,1,3,2,1,1,2,4,1,4,3,3,3,3,3,3,3,1,1,2,2,2,1,1,1,1,1,4,5,2
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,4,2,2,2,2,1,1,2,2,3,2,4,4,1,1,1,1,1,1,1,1,2,4,1,3,2,1,2,5,5,3,4,4,3,5,4,4,2,2,3,2,3,5,5,2,2,2,1,5,4,4,5
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,2,1,2,2,1,1,2,4,2,2,4,5,4,3,3,2,3,1,2,4,2,4,1,5,1,1,1,3,4,3,3,2,3,3,3,3,3,2,1,1,1,2,4,1,5,4,3,1,4,2,1
Yes,Sworn Officer,1,2,2,2,2,2,1,1,2,3,3,2,3,3,4,4,3,3,3,4,4,3,3,3,4,4,3,1,1,3,4,1,2,2,3,2,2,3,2,2,1,1,3,4,2,2,3,3,4,3,4,3,1
Yes,Sworn Officer,1,4,2,2,2,2,1,2,2,3,2,2,2,3,3,3,2,1,1,1,1,2,4,3,1,1,1,2,1,3,3,2,3,3,3,3,2,3,2,2,2,1,3,3,3,2,3,3,4,2,4,4,2
Yes,Sworn Officer,1,3,4,1,2,4,1,1,2,3,2,3,4,3,1,4,1,1,1,1,1,1,4,2,3,5,5,3,2,3,3,2,2,1,1,2,1,2,2,1,1,1,2,1,3,2,3,2,2,4,4,1,1
Yes,Sworn Officer,1,FALSE,3,2,1,2,1,1,2,2,1,1,4,1,4,4,1,3,1,1,1,1,5,1,4,1,1,1,1,2,3,1,3,3,3,3,3,3,2,3,1,1,3,4,4,2,1,2,4,5,4,4,1
Yes,Sworn Officer,1,1,3,1,4,2,1,2,3,2,4,4,1,1,3,4,3,2,3,1,1,2,4,1,3,1,1,1,1,3,3,2,3,3,3,3,2,2,3,3,1,1,1,1,2,1,1,1,1,1,4,4,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,4,4,3,5,4,3,4,5,4,1,1,1,1,1,1,3,3,1,3,3,1,1,3,3,2,1,1,1,1,3,1,1,3,1,3,4,3,2
Yes,Sworn Officer,1,1,4,1,3,4,1,1,4,5,4,1,2,4,2,2,1,3,2,2,3,3,5,4,1,3,3,4,1,3,1,3,4,1,2,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1
Yes,Sworn Officer,1,4,4,1,2,4,1,1,2,2,5,2,4,5,4,4,4,4,4,4,4,4,4,2,5,5,4,1,2,5,5,2,3,2,4,4,4,3,2,2,1,1,3,2,4,2,4,4,4,4,5,4,2
Yes,Sworn Officer,1,4,4,1,3,2,1,1,2,3,4,3,4,5,1,2,1,1,2,1,2,2,2,3,2,4,3,2,1,3,5,3,2,4,3,3,3,2,2,1,3,FALSE,2,2,4,1,2,2,4,4,3,4,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,2,3,1,3,3,1,2,2,2,3,4,3,4,3,3,4,4,4,4,3,4,4,3,2,3,2,1,3,3,4,1,3,3,3,4,3,3,2,3,1,1,3,4,3,1,1,1,3,2,2,4,2
Yes,Sworn Officer,1,4,4,1,3,3,1,1,3,4,4,4,3,4,3,3,1,1,4,3,3,3,3,1,5,3,2,3,1,3,4,2,3,3,4,3,2,2,2,2,2,FALSE,2,3,2,2,2,2,3,2,5,4,1
Yes,Sworn Officer,1,2,1,2,3,1,2,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,2
Yes,Sworn Officer,1,4,3,2,1,3,2,2,1,2,4,2,1,3,3,3,3,1,1,5,1,3,5,3,2,4,3,1,1,1,4,5,3,2,2,1,1,2,3,1,1,1,3,4,2,1,3,4,4,4,5,1,1
Yes,Sworn Officer,1,2,2,2,1,2,1,2,1,2,3,1,2,4,1,1,1,1,1,2,1,1,5,2,5,5,5,1,1,2,4,1,3,4,4,5,3,4,2,3,1,1,4,2,5,1,4,5,3,5,5,5,1
Yes,Sworn Officer,1,1,3,2,2,3,2,2,2,2,2,3,3,3,3,3,2,1,2,3,1,1,4,1,3,2,2,1,1,3,4,2,3,3,3,2,1,2,1,1,1,1,3,2,3,1,3,3,2,4,5,4,1
Yes,Sworn Officer,1,3,3,1,3,3,1,1,3,4,2,3,4,4,3,3,2,3,3,4,2,2,5,3,4,5,5,2,2,3,3,1,1,1,3,2,2,3,2,1,1,1,1,2,3,1,2,3,5,2,5,2,1
Yes,Sworn Officer,1,2,2,1,1,1,2,2,1,4,2,2,2,3,1,2,2,1,3,2,1,2,3,1,4,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,2,4,3,1,2,2,2,2,4,5,1
Yes,Sworn Officer,1,3,3,1,2,3,1,1,2,3,3,2,3,2,1,1,1,1,1,1,1,1,4,2,2,5,5,1,1,2,1,1,1,1,3,2,1,3,2,2,1,1,2,2,4,1,3,3,5,3,3,3,1
Yes,Sworn Officer,1,1,2,1,1,2,1,1,2,5,5,1,4,3,3,3,1,1,2,2,1,1,5,3,4,5,5,1,1,4,4,1,4,1,2,3,1,1,1,1,1,1,1,1,4,1,3,4,5,5,2,1,1
Yes,Sworn Officer,1,3,4,1,3,4,1,1,2,4,5,2,3,3,4,5,4,4,4,4,3,3,3,1,3,3,3,1,1,3,5,1,4,4,3,2,3,3,2,3,3,FALSE,1,4,3,1,2,4,2,3,3,4,1
Yes,Sworn Officer,1,2,2,1,2,4,1,1,2,3,3,1,4,4,2,3,2,2,2,5,2,2,3,4,1,1,1,2,1,2,4,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,4,2,5,3,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,3,4,1,1,4,1,1,1,1,1,3,3,1,4,4,1,1,1,4,1,1,1,3,3,2,1,1,1,3,2,2,1,3,3,3,1,1,1,1,1,1,1,5,5,4,5,5,3,3,5,1,2
Yes,Sworn Officer,1,1,4,1,2,4,1,1,2,4,4,2,3,4,5,5,4,4,5,4,4,4,4,4,1,1,1,1,1,4,5,2,5,5,5,4,4,4,4,5,3,2,1,1,5,3,5,5,5,5,5,5,3
Yes,Sworn Officer,1,1,3,1,2,2,1,2,1,4,2,1,2,3,3,3,1,1,2,3,2,1,3,3,2,1,1,1,1,2,2,1,3,2,3,3,2,3,3,2,1,1,2,2,2,2,4,2,4,4,4,4,1
Yes,Sworn Officer,1,1,3,2,2,3,1,1,3,4,3,2,3,4,2,2,2,2,3,3,1,1,2,3,2,4,3,1,1,2,3,3,3,2,3,3,2,3,2,3,3,2,4,2,3,1,2,2,4,3,3,3,2
Yes,Sworn Officer,1,4,3,2,1,3,1,2,1,3,2,3,3,3,3,3,2,2,2,3,2,2,1,4,1,1,1,2,1,2,3,1,4,3,3,2,2,3,2,2,1,1,2,1,3,1,3,3,1,1,3,2,1
Yes,Sworn Officer,1,4,3,2,3,3,1,2,2,3,3,4,3,3,2,2,4,3,3,2,2,2,4,3,3,4,4,1,2,4,3,2,2,3,5,2,1,3,2,3,1,1,3,4,3,1,3,2,3,2,3,4,2
Yes,Sworn Officer,1,FALSE,3,2,2,2,1,2,2,2,2,1,3,3,2,4,2,2,2,2,2,2,4,2,4,5,5,1,1,3,3,3,3,2,3,3,2,2,2,2,2,1,3,5,5,2,5,5,4,3,4,3,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,5,1,3,4,1,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,5,4,1,1,1,1,1,3,3,3,2,2,3,2,3,2,2,2,1,1,1,3,3,1,1,1,1,2,3,2,2
Yes,Sworn Officer,1,2,3,2,1,2,1,2,1,2,2,2,4,3,4,4,2,1,2,4,1,1,2,2,2,5,5,1,1,3,3,1,3,2,2,3,1,3,1,2,2,1,3,2,3,2,3,4,3,3,3,2,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,4,1,3,2,1,2,2,3,4,2,4,4,3,3,2,2,4,4,2,4,5,3,3,5,5,1,1,4,3,1,2,1,4,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,5,3,1
Yes,Sworn Officer,1,2,2,1,2,2,1,1,2,2,2,2,3,1,2,2,2,2,2,2,2,2,4,4,1,1,1,2,1,5,5,2,5,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,4,4,3,2,4
Yes,Sworn Officer,1,3,3,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,3,3,2,5,5,1,1,1,1,1,4,1,1,1,1,3,2,1,1,1,1,1,1,1,3,3,1,5,3,1,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,4,3,1,2,2,1,1,2,3,4,3,4,3,3,3,3,3,2,3,2,3,2,4,1,4,4,1,1,2,3,4,2,2,2,4,3,3,3,2,1,1,2,2,2,2,2,2,3,2,3,3,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,2,3,1,2,3,1,1,2,5,2,2,3,4,5,5,2,2,2,2,4,3,5,4,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,5,1,2
Yes,Sworn Officer,1,4,4,1,4,3,2,1,2,3,4,3,4,4,3,4,3,1,3,4,3,4,5,3,3,3,1,2,1,4,3,2,3,3,2,2,2,2,2,3,1,1,2,2,2,1,3,4,4,2,4,4,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,3,4,1,3,2,2,2,2,3,4,1,4,2,4,4,2,2,4,4,4,2,4,3,3,2,2,1,1,3,5,3,3,3,4,4,3,3,2,2,1,1,2,2,2,2,3,3,4,4,4,4,2
Yes,Sworn Officer,1,1,4,2,2,1,1,1,2,3,3,2,1,2,5,5,3,3,3,4,3,3,5,1,4,1,2,1,1,5,5,2,4,3,3,3,3,3,2,1,1,1,2,1,3,2,4,3,5,5,4,2,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,2,3,1,3,3,1,1,2,3,4,5,4,5,5,5,4,5,3,5,4,FALSE,5,4,1,1,1,1,1,2,3,2,2,3,2,2,3,3,3,1,2,1,4,4,5,3,5,5,5,5,5,4,1
Yes,Sworn Officer,1,3,3,1,3,4,1,1,2,3,2,3,3,4,1,1,2,2,2,4,2,2,4,3,4,5,5,3,2,3,3,2,5,2,2,2,3,3,2,2,1,1,1,2,3,2,2,2,2,3,3,3,2
Yes,Sworn Officer,1,2,2,2,2,2,1,2,2,3,3,3,3,2,4,4,3,3,2,4,2,2,5,4,1,1,1,1,1,3,3,3,4,3,3,1,2,2,2,3,2,2,4,2,4,3,3,3,4,5,4,4,5
Yes,Sworn Officer,1,4,3,1,3,3,2,1,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,1,5,5,1,1,2,3,4,3,2,2,2,2,3,2,3,2,1,2,2,3,1,3,4,3,3,4,4,1
Yes,Sworn Officer,1,3,4,1,4,4,1,1,4,5,5,4,5,5,5,5,5,4,4,4,4,4,5,1,5,4,3,2,3,4,5,1,5,5,5,5,4,4,4,3,1,1,1,4,3,1,4,4,3,4,5,4,3
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,5,1,4,5,1,1,4,4,4,4,3,4,2,1,3,3,3,1,1,4,3,2,3,5,4,2,2,4,4,5,1,3,3,2,2,2,2,3,1,1,1,2,3,1,2,1,3,2,4,4,1
Yes,Sworn Officer,1,FALSE,4,1,2,4,1,1,2,3,3,4,4,3,3,4,3,2,3,3,2,2,3,3,3,4,3,4,2,3,3,2,4,2,3,2,2,2,1,1,1,1,4,2,5,2,4,4,4,3,4,4,1
Yes,Sworn Officer,1,4,3,1,2,4,1,1,2,4,4,3,4,2,3,3,3,2,3,4,1,3,2,4,1,4,4,1,2,3,4,3,3,4,3,2,2,3,2,3,2,2,2,2,4,3,4,3,4,3,4,4,1
Yes,Sworn Officer,1,2,4,1,3,4,1,1,4,4,4,2,3,3,2,2,2,1,2,2,1,2,4,1,3,2,2,1,1,2,1,1,3,2,2,2,1,3,3,1,1,1,1,2,2,1,4,4,4,4,4,3,1
Yes,Sworn Officer,1,3,3,2,2,2,2,2,2,2,2,1,2,3,2,2,1,2,1,1,1,2,3,1,4,1,1,3,1,4,5,1,4,3,2,4,3,3,2,2,1,2,1,4,4,2,4,4,4,4,3,1,3
Yes,Sworn Officer,1,4,4,1,3,4,1,1,3,4,3,2,3,4,3,2,2,3,3,2,3,3,4,4,4,2,1,3,1,1,4,2,3,2,2,2,1,2,1,1,2,1,1,4,2,1,3,4,4,4,4,2,2
Yes,Sworn Officer,1,2,1,2,3,2,1,2,3,3,1,1,3,3,1,3,3,2,3,4,1,1,3,3,4,5,5,1,1,2,2,3,2,1,1,3,3,2,2,1,1,1,2,4,4,2,2,2,4,3,4,4,1
Yes,Sworn Officer,1,2,3,2,3,3,1,2,3,3,4,2,4,3,2,2,4,4,4,2,2,3,4,4,1,1,1,1,2,5,5,3,3,3,3,3,2,3,1,3,1,1,3,3,1,1,1,1,1,1,4,4,2
Yes,Sworn Officer,1,2,3,1,1,2,2,2,1,1,3,2,3,4,3,3,3,3,3,3,2,3,4,3,4,5,4,1,1,4,5,2,5,4,4,3,4,5,4,5,3,2,2,5,5,2,5,5,5,5,5,5,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,3,2,2,2,2,1,1,1,2,2,2,3,2,3,3,3,1,3,2,1,1,2,3,2,3,3,1,1,2,2,2,1,2,3,3,2,3,3,3,1,1,3,3,5,3,3,3,2,4,3,3,1
Yes,Sworn Officer,1,1,2,2,3,2,2,2,2,3,3,2,3,2,4,4,3,3,3,4,2,3,3,3,4,3,3,1,1,3,2,2,3,1,3,1,1,1,1,1,1,1,3,4,4,2,4,4,4,2,4,2,1
Yes,Sworn Officer,1,2,2,2,3,3,1,1,2,3,5,2,4,5,5,5,5,5,5,5,5,5,5,4,1,2,2,1,1,3,5,3,5,5,5,5,5,2,2,3,1,1,3,2,3,1,1,1,1,2,5,4,2
Yes,Sworn Officer,1,4,3,1,3,2,1,1,3,4,4,4,4,3,3,3,3,3,4,3,4,4,3,4,1,1,1,5,1,3,3,1,1,4,3,5,5,5,3,3,3,2,3,5,5,3,4,4,4,4,5,4,2
Yes,Sworn Officer,1,3,2,2,2,3,1,1,3,3,3,2,4,3,3,3,1,1,3,2,3,2,4,3,3,4,3,1,1,4,3,2,3,3,3,2,2,2,1,2,1,1,2,3,4,2,4,3,4,3,3,4,1
Yes,Law Enforcement Professional  (Dispatch or other Civilian Department Member ),2,1,3,1,4,2,1,2,2,3,4,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,1,2,2,3,4,2,3,3,1,2,2,2,3,3,FALSE,2,1,1,1,1,1,1,2,3,4,2
